,CountryName,MNOName,Rank,Virtual
11,Aruba,MIO,2,False
12,Aruba,SetarNV,3,False
13,Bahamas,BTC,1,False
14,Bahamas,Aliv,2,False
15,Barbados,FLOW,1,False
16,Barbados,Digicel,2,False
17,Belize,Digi[20],1,False
18,Belize,Smart[22],2,False
19,Bermuda,One,1,False
20,Bermuda,Digicel,2,False
21,Bolivia,Entel,1,False
22,Bolivia,Tigo [es],2,False
23,Bolivia,Viva,3,False
24,Bonaire,Digicel(formerly TELBO[31]),1,False
25,Bonaire,FLOW,2,False
26,Brazil,Vivo,1,False
27,Brazil,Claro,2,False
28,Brazil,TIM,3,False
29,Brazil,"Algar Telecom• Only in some areas of GO, MG, MS and SP states",4,False
30,Brazil,Surf• Only in city of São Paulo• Operates nationally as MVNE using TIM networks,5,False
31,British Virgin Islands,CCT[41],1,False
32,British Virgin Islands,FLOW,2,False
33,British Virgin Islands,Digicel,3,False
34,Canada,RogersIncludes Fido and Chatr,1,False
35,Canada,BellIncludes MTS and Virgin Mobile,2,False
36,Canada,TelusIncludes Koodo and Public Mobile,3,False
37,Canada,Freedom MobileIncludes Shaw Mobile,4,False
38,Canada,Vidéotron,5,False
39,Canada,SaskTel,6,False
40,Cayman Islands,FLOW Cayman,1,False
41,Cayman Islands,Digicel,2,False
42,Chile,Entel,1,False
43,Chile,"Movistar
",2,False
44,Chile,"WOM
",3,False
45,Chile,"Claro
",4,False
46,Chile,"VTR Móvil (using Movistar and Claro)
",5,False
47,Chile,"Virgin Mobile (using Movistar)
",6,False
48,Colombia,Claro,1,False
49,Colombia,Movistar,2,False
50,Colombia,Tigo,3,False
51,Colombia,WOM,4,False
52,Colombia,Virgin Mobile(using Movistar),5,False
53,Colombia,Móvil Éxito[56] (using Tigo),6,False
54,Colombia,ETB(using Tigo[57]),7,False
55,Colombia,Flash Móvil (using Tigo),8,False
56,Colombia,Suma Móvil  (using Tigo),9,False
57,Costa Rica,Kölbi[62],1,False
58,Costa Rica,Liberty,2,False
59,Costa Rica,Claro,3,False
60,Costa Rica,Tuyo Móvil[64](using Kölbi),4,False
61,Costa Rica,Fullmóvil[65](using Kölbi),5,False
62,Cuba,Cubacel[67],1,False
63,Dominica,Digicel,1,False
64,Dominica,FLOW,2,False
65,Dominican Republic,Claro  (formerly CODETEL),1,False
66,Dominican Republic,altice (formerly Orange and Tricom),2,False
67,Dominican Republic,Viva,3,False
68,Ecuador,Claro,1,False
69,Ecuador,Movistar,2,False
70,Ecuador,Cnt,3,False
71,Ecuador,Tuenti[75] (using Movistar network),4,True
72,El Salvador,Tigo,1,False
73,El Salvador,Claro,2,False
74,El Salvador,Movistar,3,False
75,El Salvador,Digicel,4,False
76,El Salvador,RED,5,False
77,Falkland Islands,Sure[84],1,False
78,Greenland,tusass   (formerly TELE Greenland) ,1,False
79,Grenada,FLOW,1,False
80,Grenada,Digicel,2,False
81,Guatemala,Tigo,1,False
82,Guatemala,Claro   (including former Movistar network) ,2,False
83,Guyana,Digicel,1,False
84,Guyana,gtt[99],2,False
85,Haiti,Digicel,1,False
86,Haiti,NATCOM[101],2,False
87,Honduras,Tigo,1,False
88,Honduras,Claro,2,False
89,Honduras,HONDUTEL,3,False
90,Jamaica,Digicel,1,False
91,Jamaica,FLOW,2,False
92,Mexico,Telcel,1,False
93,Mexico,Movistar,2,False
94,Mexico,AT&T Mexico(Includes Unefón),3,False
95,Mexico,Red Compartida(Shared network available for MVNOs),4,False
96,Mexico,"Virgin Mobile (using Movistar)
","5
",True
97,Mexico,"QBO Cel (using Movistar)
","6
",True
